Id,Predicted
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,1
217,1
218,1
219,1
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,1
458,1
459,0
460,1
461,1
462,0
463,1
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,1
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,1
565,0
566,0
567,0
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,1
583,1
584,0
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,1
595,1
596,1
597,0
598,0
599,1
600,1
601,0
